,ubicacion,latitud,longitud
111,"Ventilla-Almenara, Madrid",40.4698213,-3.696293
112,"Sanchinarro, Madrid",40.4931887,-3.6564023
113,"El Viso, Madrid",40.4448882,-3.6847127
114,"Ciudad Jardín, Madrid",40.4487115,-3.6738706
115,"Chopera, Madrid",40.3950981,-3.6994819
116,"La Paz, Madrid",40.4812105,-3.6966318
117,"Recoletos, Madrid",40.4243637,-3.6857429
118,"Casco Histórico de Barajas, Madrid",40.47400498700304,-3.578866262545432
119,"Timón, Madrid",40.3863375,-3.7069729
120,"Montecarmelo, Madrid",40.5053359,-3.6959917
121,"El Pardo, Madrid",40.5205538,-3.7780738
122,"Pau de Carabanchel, Madrid",40.3693742,-3.7626949
123,"Santa Eugenia, Madrid",40.3829244,-3.6117674
124,"Orcasitas, Madrid",40.3691419,-3.7098741
125,"Estrella, Madrid",40.4117618,-3.6669977
126,"Las Tablas, Madrid",40.5083428,-3.6694346
127,"Mirasierra, Madrid",40.4906361,-3.7161379
128,"Arroyo del Fresno, Madrid",40.4895829,-3.7303010983004263
129,"Palomas, Madrid",40.4522376,-3.6141158
130,"Valdebebas - Valdefuentes, Madrid",40.4859876,-3.6138643
131,"Fuente del Berro, Madrid",40.424977,-3.6636998
132,"Media Legua, Madrid",40.4119951,-3.6575338
133,"Valdemarín, Madrid",40.46694,-3.787154949669601
134,"Virgen del Cortijo - Manoteras, Madrid",40.4872436,-3.661223
135,"Cuatro Vientos, Madrid",40.3778953,-3.7919717
136,"Vallehermoso, Madrid",40.4431893,-3.7108233
137,"Jerónimos, Madrid",40.4131439,-3.6842184
138,"Atalaya, Madrid",40.464389,-3.6651106
139,"Niño Jesús, Madrid",40.4110941,-3.6737205
140,"Fuentelarreina, Madrid",40.4774958,-3.7426018
141,"Alameda de Osuna, Madrid",40.4575814,-3.5879745
142,"Barajas, Madrid",40.4733176,-3.5798446
143,"Horcajo, Madrid",40.4081864,-3.6267762
144,"Campo de las Naciones-Corralejos, Madrid",40.153387,-3.7055827
145,"El Plantío, Madrid",40.468442,-3.817695979687869
